gaze_X, gaze_Y, fixationTime
3420,2170,722
3419,2167,732
3418,2164,744
3416,2161,755
3412,2160,766
3408,2161,777
3405,2162,788
3404,2163,799
3405,2163,811
3405,2164,822
3405,2164,833
3405,2163,844
3406,2160,855
3408,2156,866
3409,2152,878
3411,2151,888
3411,2150,899
3412,2149,911
3413,2150,922
3415,2151,932
3416,2152,944
3415,2152,955
3411,2148,965
3406,2144,977
3401,2141,988
3397,2140,998
3397,2143,1011
3397,2146,1022
3398,2147,1032
3399,2147,1044
3400,2146,1055
3403,2146,1066
3406,2147,1077
3408,2149,1088
3409,2150,1099
3406,2151,1111
3403,2153,1122
3399,2155,1132
3395,2157,1144
3391,2158,1155
3387,2157,1165
3384,2156,1177
3381,2154,1188
3382,2151,1198
3384,2149,1210
3387,2147,1221
3390,2145,1232
3389,2145,1244
3388,2146,1255
3388,2146,1265
3390,2145,1277
3393,2143,1288
3400,2142,1299
3405,2143,1311
3409,2147,1322
3413,2152,1332
3412,2156,1344
3411,2159,1355
3405,2159,1366
3400,2158,1376
3394,2156,1389
3388,2154,1398
3351,2148,0
3313,2144,12
3269,2138,23
3226,2134,35
3183,2123,44
3159,2114,55
3144,2107,67
3132,2101,79
3129,2104,88
3132,2105,100
3136,2105,111
3139,2110,123
3141,2115,134
3137,2123,145
3132,2129,156
3264,2205,0
3293,2205,11
3303,2201,21
3313,2199,33
3332,2199,44
3359,2197,54
3387,2198,66
3397,2195,77
3396,2190,89
3381,2184,100
3361,2173,111
3356,2165,121
3352,2158,133
3350,2156,145
3347,2155,154
3344,2155,166
3341,2150,177
3339,2146,188
3339,2142,199
3340,2140,211
3344,2143,221
3350,2149,233
3357,2156,244
3363,2165,255
3366,2173,267
3367,2174,277
3367,2174,288
3367,2173,300
3367,2169,311
3365,2167,322
3363,2165,332
3360,2162,344
3357,2160,355
3357,2159,367
3357,2158,377
3359,2159,387
3361,2160,399
3363,2161,410
3367,2162,420
3371,2163,433
3375,2163,444
3379,2164,454
3381,2166,465
3383,2167,477
3383,2168,487
3385,2167,501
3387,2166,510
3389,2165,520
3391,2164,532
3391,2165,544
3390,2166,553
3389,2166,566
3386,2167,577
3383,2168,588
3381,2168,599
3379,2167,611
3376,2164,620
3373,2158,633
3374,2150,647
3376,2142,655
3381,2137,666
3388,2134,677
3391,2135,687
