gaze_X, gaze_Y, pos_X, pos_Y, fixationTime
187,-38,-712,1424,300
186,-43,-714,1424,311
188,-44,-714,1424,320
191,-45,-714,1422,334
194,-46,-716,1421,346
197,-46,-716,1421,355
198,-46,-717,1422,367
195,-43,-719,1423,379
194,-42,-719,1423,388
191,-42,-720,1423,400
189,-42,-722,1423,411
188,-45,-722,1423,422
187,-46,-723,1422,434
186,-45,-725,1423,444
184,-44,-725,1423,455
182,-43,-726,1424,467
181,-43,-728,1425,478
181,-43,-728,1425,488
180,-43,-729,1425,501
177,-43,-731,1425,511
173,-44,-731,1425,521
172,-44,-731,1425,533
172,-45,-733,1425,544
173,-46,-733,1425,553
175,-48,-734,1426,567
176,-52,-734,1426,578
179,-55,-734,1426,588
183,-56,-735,1426,600
187,-57,-735,1427,0
181,-59,-736,1427,12
175,-59,-736,1428,22
165,-61,-736,1428,32
165,-60,-736,1428,45
167,-60,-736,1428,55
169,-61,-736,1428,66
171,-62,-736,1428,79
171,-64,-735,1427,89
171,-67,-735,1427,99
170,-70,-735,1426,112
169,-70,-735,1425,122
169,-66,-735,1425,133
169,-60,-734,1424,145
168,-55,-734,1422,156
167,-51,-734,1422,166
170,-49,-733,1422,178
178,-42,-733,1421,189
185,-40,-733,1421,199
192,-38,-733,1421,211
196,-39,-732,1421,222
193,-46,-732,1421,232
190,-47,-733,1421,245
190,-48,-732,1421,255
257,-18,-733,1421,0
277,-7,-733,1422,10
292,0,-733,1422,22
284,-5,-733,1422,34
275,-12,-733,1422,44
261,-22,-733,1422,54
239,-36,-733,1421,67
214,-51,-733,1419,77
193,-62,-733,1419,88
176,-68,-733,1419,100
170,-66,-733,1418,111
169,-62,-733,1418,122
168,-58,-733,1418,134
169,-56,-732,1416,144
170,-56,-732,1416,155
170,-55,-732,1416,167
170,-54,-731,1415,178
170,-52,-731,1415,188
171,-52,-731,1415,200
172,-52,-731,1414,211
174,-54,-731,1414,221
179,-61,-729,1411,0
181,-62,-729,1411,11
183,-61,-729,1410,23
184,-61,-729,1409,33
184,-59,-729,1409,44
183,-59,-729,1410,57
182,-58,-729,1410,67
181,-56,-729,1410,77
181,-52,-730,1410,89
182,-50,-730,1410,101
183,-48,-730,1410,111
185,-48,-731,1410,123
185,-50,-731,1408,134
188,-51,-731,1408,143
193,-52,-732,1407,156
197,-53,-733,1406,166
201,-52,-733,1406,177
202,-51,-733,1405,188
199,-49,-735,1406,200
195,-47,-735,1406,210
192,-46,-736,1407,223
190,-45,-738,1410,233
189,-46,-738,1410,243
189,-47,-738,1410,256
189,-49,-739,1409,266
189,-51,-739,1409,277
188,-52,-739,1409,289
189,-53,-739,1410,301
188,-52,-739,1410,310
187,-50,-740,1411,323
188,-50,-740,1413,334
188,-49,-740,1413,344
189,-49,-739,1412,356
190,-49,-739,1412,367
191,-49,-739,1412,378
191,-50,-738,1412,389
191,-51,-738,1412,402
191,-51,-738,1412,410
191,-51,-737,1411,423
545,-23,-733,1411,0
697,-7,-733,1411,10
817,8,-733,1410,23
922,21,-733,1409,33
1009,30,-733,1409,44
1062,34,-733,1408,55
1097,36,-732,1407,68
1113,36,-732,1407,76
1116,35,-732,1407,89
1116,35,-731,1405,101
1117,38,-731,1405,109
1119,43,-730,1403,122
1122,49,-729,1402,133
1126,55,-729,1402,143
1128,59,-728,1401,156
1128,64,-726,1399,166
1127,69,-726,1399,177
1126,73,-724,1399,189
2341,-26,-702,1410,0
2549,-38,-700,1414,11
2707,-44,-700,1414,21
2807,-46,-698,1414,33
2885,-46,-693,1413,45
2942,-37,-693,1413,55
2943,-25,-691,1414,67
2932,-6,-679,1417,0
2928,-3,-679,1417,10
2920,0,-677,1418,23
2863,12,-667,1421,0
2866,14,-664,1422,12
2888,15,-661,1425,23
3071,-32,-658,1429,0
3110,-35,-656,1429,13
